A071,Giardiasis [lambliasis],Giardiasis [lambliasis],Other protozoal intestinal diseases
A072,Cryptosporidiosis,Cryptosporidiosis,Other protozoal intestinal diseases
A073,Isosporiasis,Isosporiasis,Other protozoal intestinal diseases
A074,Cyclosporiasis,Cyclosporiasis,Other protozoal intestinal diseases
A078,Other specified protozoal intestinal diseases,Other specified protozoal intestinal diseases,Other protozoal intestinal diseases
A079,"Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified",Other protozoal intestinal diseases
A080,Rotaviral enteritis,Rotaviral enteritis,Viral and other specified intestinal infections
A0811,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent and other small round viruses
A0819,Acute gastroenteropathy due to other small round viruses,Acute gastroenteropathy due to other small round viruses,Acute gastroenteropathy due to Norwalk agent and other small round viruses
A082,Adenoviral enteritis,Adenoviral enteritis,Adenoviral enteritis
A0831,Calicivirus enteritis,Calicivirus enteritis,Other viral enteritis
A0832,Astrovirus enteritis,Astrovirus enteritis,Other viral enteritis
A0839,Other viral enteritis,Other viral enteritis,Other viral enteritis
A084,"Viral intestinal infection, unspecified","Viral intestinal infection, unspecified","Viral intestinal infection, unspecified"
A088,Other specified intestinal infections,Other specified intestinal infections,Other specified intestinal infections
A09,"Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified"
A150,Tuberculosis of lung,Tuberculosis of lung,Respiratory tuberculosis
A154,Tuberculosis of intrathoracic lymph nodes,Tuberculosis of intrathoracic lymph nodes,Respiratory tuberculosis
A155,"Tuberculosis of larynx, trachea and bronchus","Tuberculosis of larynx, trachea and bronchus",Respiratory tuberculosis
A156,Tuberculous pleurisy,Tuberculous pleurisy,Respiratory tuberculosis
A157,Primary respiratory tuberculosis,Primary respiratory tuberculosis,Respiratory tuberculosis
A158,Other respiratory tuberculosis,Other respiratory tuberculosis,Respiratory tuberculosis
A159,Respiratory tuberculosis unspecified,Respiratory tuberculosis unspecified,Respiratory tuberculosis
A170,Tuberculous meningitis,Tuberculous meningitis,Tuberculosis of nervous system
A171,Meningeal tuberculoma,Meningeal tuberculoma,Tuberculosis of nervous system
A1781,Tuberculoma of brain and spinal cord,Tuberculoma of brain and spinal cord,Other tuberculosis of nervous system
A1782,Tuberculous meningoencephalitis,Tuberculous meningoencephalitis,Other tuberculosis of nervous system
A1783,Tuberculous neuritis,Tuberculous neuritis,Other tuberculosis of nervous system
A1789,Other tuberculosis of nervous system,Other tuberculosis of nervous system,Other tuberculosis of nervous system
A179,"Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified"
A1801,Tuberculosis of spine,Tuberculosis of spine,Tuberculosis of bones and joints
A1802,Tuberculous arthritis of other joints,Tuberculous arthritis of other joints,Tuberculosis of bones and joints
A1803,Tuberculosis of other bones,Tuberculosis of other bones,Tuberculosis of bones and joints
A1809,Other musculoskeletal tuberculosis,Other musculoskeletal tuberculosis,Tuberculosis of bones and joints
A1810,"Tuberculosis of genitourinary system, unspecified","Tuberculosis of genitourinary system, unspecified",Tuberculosis of genitourinary system
A1811,Tuberculosis of kidney and ureter,Tuberculosis of kidney and ureter,Tuberculosis of genitourinary system
A1812,Tuberculosis of bladder,Tuberculosis of bladder,Tuberculosis of genitourinary system
A1813,Tuberculosis of other urinary organs,Tuberculosis of other urinary organs,Tuberculosis of genitourinary system
A1814,Tuberculosis of prostate,Tuberculosis of prostate,Tuberculosis of genitourinary system
A1815,Tuberculosis of other male genital organs,Tuberculosis of other male genital organs,Tuberculosis of genitourinary system
A1816,Tuberculosis of cervix,Tuberculosis of cervix,Tuberculosis of genitourinary system
A1817,Tuberculous female pelvic inflammatory disease,Tuberculous female pelvic inflammatory disease,Tuberculosis of genitourinary system
A1818,Tuberculosis of other female genital organs,Tuberculosis of other female genital organs,Tuberculosis of genitourinary system
A182,Tuberculous peripheral lymphadenopathy,Tuberculous peripheral lymphadenopathy,Tuberculous peripheral lymphadenopathy
A1831,Tuberculous peritonitis,Tuberculous peritonitis,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A1832,Tuberculous enteritis,Tuberculous enteritis,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A1839,Retroperitoneal tuberculosis,Retroperitoneal tuberculosis,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A184,Tuberculosis of skin and subcutaneous tissue,Tuberculosis of skin and subcutaneous tissue,Tuberculosis of skin and subcutaneous tissue
A1850,"Tuberculosis of eye, unspecified","Tuberculosis of eye, unspecified",Tuberculosis of eye
A1851,Tuberculous episcleritis,Tuberculous episcleritis,Tuberculosis of eye
A1852,Tuberculous keratitis,Tuberculous keratitis,Tuberculosis of eye
A1853,Tuberculous chorioretinitis,Tuberculous chorioretinitis,Tuberculosis of eye
A1854,Tuberculous iridocyclitis,Tuberculous iridocyclitis,Tuberculosis of eye
A1859,Other tuberculosis of eye,Other tuberculosis of eye,Tuberculosis of eye
A186,Tuberculosis of (inner) (middle) ear,Tuberculosis of (inner) (middle) ear,Tuberculosis of (inner) (middle) ear
A187,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands
A1881,Tuberculosis of thyroid gland,Tuberculosis of thyroid gland,Tuberculosis of other specified organs
A1882,Tuberculosis of other endocrine glands,Tuberculosis of other endocrine glands,Tuberculosis of other specified organs
A1883,"Tuberculosis of digestive tract organs, NEC","Tuberculosis of digestive tract organs, not elsewhere classified",Tuberculosis of other specified organs
A1884,Tuberculosis of heart,Tuberculosis of heart,Tuberculosis of other specified organs
A1885,Tuberculosis of spleen,Tuberculosis of spleen,Tuberculosis of other specified organs
A1889,Tuberculosis of other sites,Tuberculosis of other sites,Tuberculosis of other specified organs
A190,Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis of a single specified site,Miliary tuberculosis
A191,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites,Miliary tuberculosis
A192,"Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified",Miliary tuberculosis
A198,Other miliary tuberculosis,Other miliary tuberculosis,Miliary tuberculosis
A199,"Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified",Miliary tuberculosis
A200,Bubonic plague,Bubonic plague,Plague
A201,Cellulocutaneous plague,Cellulocutaneous plague,Plague
A202,Pneumonic plague,Pneumonic plague,Plague
A203,Plague meningitis,Plague meningitis,Plague
A207,Septicemic plague,Septicemic plague,Plague
A208,Other forms of plague,Other forms of plague,Plague
A209,"Plague, unspecified","Plague, unspecified",Plague
A210,Ulceroglandular tularemia,Ulceroglandular tularemia,Tularemia
A211,Oculoglandular tularemia,Oculoglandular tularemia,Tularemia
A212,Pulmonary tularemia,Pulmonary tularemia,Tularemia
A213,Gastrointestinal tularemia,Gastrointestinal tularemia,Tularemia
A217,Generalized tularemia,Generalized tularemia,Tularemia
A218,Other forms of tularemia,Other forms of tularemia,Tularemia
A219,"Tularemia, unspecified","Tularemia, unspecified",Tularemia
A220,Cutaneous anthrax,Cutaneous anthrax,Anthrax
A221,Pulmonary anthrax,Pulmonary anthrax,Anthrax
A222,Gastrointestinal anthrax,Gastrointestinal anthrax,Anthrax
A227,Anthrax sepsis,Anthrax sepsis,Anthrax
A228,Other forms of anthrax,Other forms of anthrax,Anthrax
A229,"Anthrax, unspecified","Anthrax, unspecified",Anthrax
A230,Brucellosis due to Brucella melitensis,Brucellosis due to Brucella melitensis,Brucellosis
A231,Brucellosis due to Brucella abortus,Brucellosis due to Brucella abortus,Brucellosis
A232,Brucellosis due to Brucella suis,Brucellosis due to Brucella suis,Brucellosis
A233,Brucellosis due to Brucella canis,Brucellosis due to Brucella canis,Brucellosis
A238,Other brucellosis,Other brucellosis,Brucellosis
A239,"Brucellosis, unspecified","Brucellosis, unspecified",Brucellosis
A240,Glanders,Glanders,Glanders and melioidosis
A241,Acute and fulminating melioidosis,Acute and fulminating melioidosis,Glanders and melioidosis
A242,Subacute and chronic melioidosis,Subacute and chronic melioidosis,Glanders and melioidosis
A243,Other melioidosis,Other melioidosis,Glanders and melioidosis
A249,"Melioidosis, unspecified","Melioidosis, unspecified",Glanders and melioidosis
A250,Spirillosis,Spirillosis,Rat-bite fevers
A251,Streptobacillosis,Streptobacillosis,Rat-bite fevers
A259,"Rat-bite fever, unspecified","Rat-bite fever, unspecified",Rat-bite fevers
